feature,mean_abs_shap,rank
src_ip_bytes,0.948918395707965,1
conn_state,0.7201821915856661,2
duration,0.5373213677869897,3
src_pkts,0.36598349151015946,4
src_bytes,0.2864398368888143,5
dst_ip_bytes,0.27553297853631786,6
dst_pkts,0.24345338124888938,7
dns_query,0.23826658845599896,8
proto,0.16853793780804918,9
dst_bytes,0.14050352414402528,10
service,0.09546833395701745,11
dns_RA,0.06565190810940998,12
dns_AA,0.04488713966424165,13
dns_rejected,0.026956758153757303,14
dns_rcode,0.026600230102623332,15
dns_qtype,0.025582500160475564,16
dns_RD,0.025119239420061737,17
dns_qclass,0.008591932450986677,18
