class_id,class_name,feature,selection_sources,mean_abs_shap,cpf_importance_mean,consensus_score
0,backdoor,src_ip_bytes,shap_intersection_cpf,13.981030243112151,0.6256388399592041,1.0
0,backdoor,conn_state,shap_intersection_cpf,4.228938344821266,0.009289409357473221,0.15866237692355048
0,backdoor,duration,shap_intersection_cpf,1.9987840990342016,7.149237656061125e-05,0.07153913876775288
0,backdoor,service,shap_intersection_cpf,0.8028124573821643,0.0005363078321577008,0.02913938424744551
0,backdoor,src_pkts,shap_intersection_cpf,0.4623582764881369,3.568239682172347e-05,0.016563717267615755
0,backdoor,src_bytes,shap_intersection_cpf,0.2704257430393564,0.0020773865216463737,0.011331378755535033
0,backdoor,dst_bytes,shap_intersection_cpf,0.1058963649716751,0.0002146942034944921,0.0039587245331596035
1,ddos,conn_state,shap_intersection_cpf,1.8690996670719466,0.1907334934896355,0.8117936627838838
1,ddos,dst_ip_bytes,shap_intersection_cpf,2.9973342793171067,0.049404893910200795,0.629512895208637
1,ddos,duration,shap_intersection_cpf,1.0000703110536024,0.08270712246720373,0.38363993910041827
1,ddos,dst_bytes,shap_intersection_cpf,1.299863480540233,0.02298240794280353,0.27708402483689276
1,ddos,src_ip_bytes,shap_intersection_cpf,1.3650432930259675,0.013391402363582694,0.2628145621159769
1,ddos,dns_query,shap_intersection_cpf,1.1049965933174763,0.018956584779853645,0.23402379604229312
1,ddos,dns_rcode,shap_intersection_cpf,1.1955894371627942,0.002091644674219917,0.20492528558613093
1,ddos,src_bytes,shap_intersection_cpf,0.4806444658378722,0.03689661943004572,0.17690162427600725
1,ddos,src_pkts,shap_intersection_cpf,0.23616729768677733,0.0033863042760748476,0.04827327995646201
2,dos,src_ip_bytes,shap_intersection_cpf,4.941303649052046,0.5187201451251798,1.0
2,dos,conn_state,shap_intersection_cpf,4.574325583625039,0.3311360593415846,0.7820519263211029
2,dos,duration,shap_intersection_cpf,1.6553691001763167,0.009507098518231038,0.1766672720886144
2,dos,src_pkts,shap_intersection_cpf,1.2912228478635217,0.018499711948835283,0.148488165876995
2,dos,src_bytes,shap_intersection_cpf,1.2123278697857978,0.007055264128192795,0.1294735229961488
2,dos,dns_query,shap_intersection_cpf,0.2863611383903911,0.004713549032826503,0.03351971542321411
2,dos,dst_ip_bytes,shap_intersection_cpf,0.25115908866268405,0.002581308238510749,0.027902404794337615
2,dos,dst_bytes,shap_intersection_cpf,0.162447038374119,0.0007259270150946628,0.01713739904760587
2,dos,dst_pkts,shap_intersection_cpf,0.12367472159529573,0.0027248973098690453,0.015140940077746728
3,injection,src_bytes,shap_intersection_cpf,4.198723956023169,0.199635778474327,1.0
3,injection,dst_bytes,shap_intersection_cpf,2.7850784979409036,0.02471433664696001,0.39355629385710267
3,injection,conn_state,shap_intersection_cpf,1.420932360055637,0.08800261880932955,0.38961795727334037
3,injection,duration,shap_intersection_cpf,1.4536038647458283,0.0558226491256157,0.3129119047002137
3,injection,dst_ip_bytes,shap_intersection_cpf,1.696993792816652,0.04403407536307698,0.3123704990156302
3,injection,src_pkts,shap_intersection_cpf,0.37557855008731433,0.05091703970370705,0.17225015631029542
3,injection,src_ip_bytes,shap_intersection_cpf,0.801904047037682,0.008782284091001102,0.11748954731069895
3,injection,dns_query,shap_intersection_cpf,0.3536517612728503,0.0195508811057127,0.09108057109090255
3,injection,dst_pkts,shap_intersection_cpf,0.3018534058101809,0.003571422156730808,0.04489069524830625
4,mitm,dst_ip_bytes,shap_intersection_cpf,2.6328886009533545,0.12187900543495903,1.0
4,mitm,duration,shap_intersection_cpf,1.6187536488849332,0.09564516633126356,0.6997877353996433
4,mitm,dst_bytes,shap_intersection_cpf,0.7719257271132919,0.08254343486353018,0.48522153719443867
4,mitm,src_pkts,shap_intersection_cpf,1.0950748336983618,0.06133047220083856,0.45956464758476145
4,mitm,dns_query,shap_intersection_cpf,0.9834806526056219,0.060564964565212764,0.4352318590028583
4,mitm,src_ip_bytes,shap_intersection_cpf,1.3269633319159284,0.038095360671737535,0.40828114471162286
4,mitm,src_bytes,shap_intersection_cpf,1.1308823091837898,0.029934909880426085,0.3375666097711147
4,mitm,service,shap_intersection_cpf,0.5404883271073345,0.03128567681391892,0.23098897709752886
4,mitm,conn_state,shap_intersection_cpf,0.686357907241249,0.019393758460941445,0.20990465719912632
5,normal,src_pkts,shap_intersection_cpf,2.263361454189458,0.09173266226769976,0.9045687050522158
5,normal,proto,shap_intersection_cpf,2.7972522663330284,0.06368233234189051,0.8471082751095182
5,normal,src_ip_bytes,shap_intersection_cpf,1.34657978853532,0.023495230618345863,0.36876048414855933
5,normal,conn_state,shap_intersection_cpf,0.7519609232091808,0.04106779874830706,0.3582556552630707
5,normal,dst_ip_bytes,shap_intersection_cpf,0.6475557230174461,0.0400190147241674,0.33387703126366874
5,normal,dns_query,shap_intersection_cpf,1.6700901666676247,0.005949203478562093,0.3309501928553783
5,normal,duration,shap_intersection_cpf,0.9551752791181931,0.021715439005483138,0.28909719536972917
5,normal,dst_pkts,shap_intersection_cpf,1.1543327560275136,0.008742387363591675,0.25398477359487437
5,normal,src_bytes,shap_intersection_cpf,0.43108793066048645,0.0305933319388068,0.24380827060982382
6,password,src_bytes,shap_intersection_cpf,3.678928991378573,0.3247769234683712,0.827869633624938
6,password,src_ip_bytes,shap_intersection_cpf,5.610353344870958,0.20546740303887975,0.8163208162153944
6,password,conn_state,shap_intersection_cpf,1.7035739551204214,0.0902893927628424,0.29082629092487633
6,password,dst_pkts,shap_intersection_cpf,1.7955957890777237,0.000367369578568133,0.1605907683295467
6,password,dst_ip_bytes,shap_intersection_cpf,1.628560414205974,0.0010104540455245115,0.14669445790222851
6,password,duration,shap_intersection_cpf,1.0869172099784103,0.002154117078171325,0.10018339301217924
6,password,dst_bytes,shap_intersection_cpf,0.6052335058831316,0.0027574563499729752,0.05818413723313874
6,password,dns_query,shap_intersection_cpf,0.4643211065521388,0.002004588328672807,0.044466836781924396
6,password,src_pkts,shap_intersection_cpf,0.1677466495032193,0.0012652045578811055,0.01689754567062713
6,password,service,shap_intersection_cpf,0.16695378696973387,0.001073120343899281,0.01653116785878589
7,ransomware,conn_state,shap_intersection_cpf,3.543387106458652,0.35370704086945554,0.8200277491750514
7,ransomware,duration,shap_intersection_cpf,5.536062287711903,0.1361273904701832,0.6924295741124707
7,ransomware,src_ip_bytes,shap_intersection_cpf,3.1574163069162235,0.22972458015091296,0.6099065511682628
7,ransomware,src_pkts,shap_intersection_cpf,1.587340249611141,0.10820404078456927,0.29632080371497055
7,ransomware,dst_ip_bytes,shap_intersection_cpf,1.5655303984595939,0.09933059964426734,0.28180751595873677
7,ransomware,dst_pkts,shap_intersection_cpf,0.5442099249983801,0.019079391843381456,0.07612196852998299
7,ransomware,proto,shap_intersection_cpf,0.3299311004872473,0.029842051206210397,0.07198305571569975
7,ransomware,dns_AA,shap_intersection_cpf,0.22264178672566604,0.0001336799814433798,0.02029728654826136
7,ransomware,src_bytes,shap_intersection_cpf,0.08153194111823023,7.625744652852706e-05,0.0074715098754943015
8,scanning,src_ip_bytes,shap_intersection_cpf,15.670332546599136,0.7896133271113469,1.0
8,scanning,conn_state,shap_intersection_cpf,1.1176993732915055,0.07909639528545578,0.08574843624912068
8,scanning,duration,shap_intersection_cpf,2.0322702611808507,0.004779710446443941,0.06787113066559851
