class_id,class_name,feature,mean_abs_shap,rank_shap,class_samples
5,normal,dns_query,1.5793860577334566,3,711
5,normal,dst_pkts,1.0867697846448234,4,711
5,normal,conn_state,1.0100179484050802,5,711
5,normal,duration,0.9507445572791692,6,711
5,normal,src_ip_bytes,0.8163179634152449,7,711
5,normal,dns_RA,0.7124659863004542,8,711
5,normal,dns_qtype,0.6646262451935308,9,711
5,normal,dst_ip_bytes,0.5453929120241187,10,711
5,normal,service,0.4220409394851701,11,711
5,normal,dns_rejected,0.40498734053818747,12,711
5,normal,dns_RD,0.22464231563618334,13,711
5,normal,dst_bytes,0.178018778975446,14,711
5,normal,src_bytes,0.16492385679906155,15,711
5,normal,dns_AA,0.08097972192698417,16,711
5,normal,http_status_code,0.03967189274487235,17,711
5,normal,dns_rcode,0.017670900768541015,18,711
5,normal,dns_qclass,0.00872147110984995,19,711
5,normal,missed_bytes,0.005199261832034027,20,711
5,normal,http_response_body_len,0.004785348933428647,21,711
5,normal,http_request_body_len,0.0,22,711
6,password,src_ip_bytes,5.248739675922124,1,284
6,password,src_bytes,3.2757029754108005,2,284
6,password,dst_ip_bytes,1.957770332683964,3,284
6,password,dst_pkts,1.8605749431598582,4,284
6,password,conn_state,1.6782204301682286,5,284
6,password,duration,1.1095279029865743,6,284
6,password,dst_bytes,0.5192530290528018,7,284
6,password,dns_RA,0.443204903955044,8,284
6,password,dns_query,0.393868253692391,9,284
6,password,service,0.24698936692183263,10,284
6,password,src_pkts,0.21828144631954252,11,284
6,password,dns_qtype,0.1274543369745933,12,284
6,password,dns_RD,0.07339780604968807,13,284
6,password,proto,0.0733657999211847,14,284
6,password,missed_bytes,0.006015491516105854,15,284
6,password,dns_rcode,0.004893542088722945,16,284
6,password,dns_rejected,0.0038930167486323597,17,284
6,password,http_response_body_len,0.0002934103432792606,18,284
6,password,dns_qclass,0.00011963502385070924,19,284
6,password,http_status_code,1.1472951607868219e-05,20,284
6,password,dns_AA,0.0,21,284
6,password,http_request_body_len,0.0,22,284
7,ransomware,duration,5.283561135646202,1,285
7,ransomware,conn_state,3.8170614136382355,2,285
7,ransomware,src_ip_bytes,3.3110213977218175,3,285
7,ransomware,src_pkts,1.9090176864783694,4,285
7,ransomware,dst_ip_bytes,1.310665325649057,5,285
7,ransomware,dst_pkts,0.5117149282894696,6,285
7,ransomware,proto,0.3646316195518858,7,285
7,ransomware,dns_AA,0.18450183148244828,8,285
7,ransomware,service,0.17181500959360899,9,285
7,ransomware,dns_RD,0.08430560265056185,10,285
7,ransomware,src_bytes,0.04366919849448629,11,285
7,ransomware,dns_RA,0.00912632210168633,12,285
7,ransomware,dns_rejected,0.007842898881283977,13,285
7,ransomware,dns_qclass,0.005732227610368183,14,285
7,ransomware,dst_bytes,0.000985314333560397,15,285
7,ransomware,dns_query,7.272931615331887e-05,16,285
7,ransomware,dns_qtype,7.77204271065951e-06,17,285
7,ransomware,missed_bytes,0.0,18,285
7,ransomware,dns_rcode,0.0,19,285
7,ransomware,http_request_body_len,0.0,20,285
7,ransomware,http_response_body_len,0.0,21,285
7,ransomware,http_status_code,0.0,22,285
8,scanning,src_ip_bytes,15.04963181672289,1,284
8,scanning,duration,1.5410462612106128,2,284
8,scanning,conn_state,0.8769140559014977,3,284
8,scanning,dns_query,0.4165069260379878,4,284
8,scanning,dst_ip_bytes,0.34181224588438086,5,284
8,scanning,dst_bytes,0.32352102218921347,6,284
8,scanning,src_bytes,0.3122836483002068,7,284
8,scanning,src_pkts,0.21572159477374303,8,284
8,scanning,proto,0.1562776195112677,9,284
8,scanning,dst_pkts,0.09882759644544717,10,284
8,scanning,dns_qtype,0.024412886391970062,11,284
8,scanning,service,0.016105552399284614,12,284
8,scanning,dns_RA,0.012235030326199188,13,284
8,scanning,missed_bytes,0.010964257452380787,14,284
8,scanning,dns_rcode,0.010285718068126365,15,284
8,scanning,dns_rejected,0.010146784323318938,16,284
8,scanning,dns_RD,0.008234103804409929,17,284
8,scanning,dns_qclass,0.0026239508567883034,18,284
8,scanning,dns_AA,0.0017624943515013787,19,284
8,scanning,http_request_body_len,0.0,20,284
8,scanning,http_response_body_len,0.0,21,284
8,scanning,http_status_code,0.0,22,284
9,xss,conn_state,2.7278410982861487,1,284
9,xss,src_bytes,1.8314251757640378,2,284
9,xss,src_ip_bytes,1.4428820461618388,3,284
9,xss,duration,0.8532414533522766,4,284
9,xss,src_pkts,0.7834120542378149,5,284
9,xss,dst_bytes,0.7813216955320595,6,284
9,xss,dns_query,0.4506765836731752,7,284
9,xss,dst_ip_bytes,0.38068149994043715,8,284
9,xss,dst_pkts,0.28052592047222863,9,284
9,xss,proto,0.19940424370761925,10,284
9,xss,service,0.14942465443836292,11,284
9,xss,dns_AA,0.07537502702029826,12,284
9,xss,dns_RA,0.07398977548320126,13,284
9,xss,dns_RD,0.0643154422434733,14,284
9,xss,dns_rcode,0.05082030759942801,15,284
9,xss,dns_rejected,0.008633201279436228,16,284
9,xss,dns_qclass,0.006842924700828807,17,284
9,xss,dns_qtype,0.0066705403772276866,18,284
9,xss,missed_bytes,0.002269707362298144,19,284
9,xss,http_status_code,0.00011463954549385625,20,284
9,xss,http_request_body_len,0.0,21,284
9,xss,http_response_body_len,0.0,22,284
