0,1,2,3,4,5,6,7,8,9
5998,0,0,0,2,0,0,0,0,0
0,5853,3,22,4,6,0,68,0,44
0,1,5898,0,44,10,4,2,41,0
0,43,7,5775,20,4,0,5,18,128
0,2,12,2,285,6,2,1,2,1
1,2,8,1,20,14941,7,16,0,4
0,1,4,1,52,1,5858,60,4,19
0,0,0,0,0,0,0,5885,0,115
0,0,26,3,20,0,5,2,5944,0
0,24,3,76,1,0,0,417,0,5479
