class_id,samples,total_inference_time_sec,avg_inference_time_ms
0,6000,0.08397204987704754,0.01399534164617459
1,6000,0.06963167525827885,0.011605279209713142
2,6000,0.055550919845700264,0.009258486640950045
3,6000,0.06492489203810692,0.010820815339684486
4,313,0.005904410034418106,0.018863929822422063
5,15000,0.14411335065960884,0.00960755671064059
6,6000,0.06008347496390343,0.010013912493983904
7,6000,0.0524261649698019,0.00873769416163365
8,6000,0.05649871565401554,0.00941645260900259
9,6000,0.058906231075525284,0.009817705179254215
