class_id,samples,total_inference_time_sec,avg_inference_time_ms
0,3000,0.0964676234871149,0.03215587449570497
1,3000,0.12160693667829037,0.04053564555943012
2,3000,0.10143808834254742,0.03381269611418247
3,3000,0.12598388828337193,0.04199462942779064
4,157,0.00836898759007454,0.05330565343996521
5,7500,0.2713890355080366,0.03618520473440488
6,3000,0.12284386157989502,0.040947953859965004
7,3000,0.1006497424095869,0.03354991413652897
8,3000,0.10244210250675678,0.03414736750225226
9,3000,0.11132464185357094,0.037108213951190315
