0,1,2,3,4,5,6,7,8,9
3000,0,0,0,0,0,0,0,0,0
0,2927,1,12,1,2,0,38,0,19
0,0,2939,0,15,8,6,2,29,1
0,18,1,2896,7,4,0,1,11,62
0,1,12,2,117,13,8,0,2,2
1,0,2,0,1,7487,2,1,0,6
0,0,0,1,11,0,2939,33,5,11
0,0,0,0,0,0,0,2941,0,59
0,0,7,4,6,0,4,1,2978,0
0,10,3,32,0,1,0,220,0,2734
