0,1,2,3,4,5,6,7,8,9
3000,0,0,0,0,0,0,0,0,0
0,2928,1,11,1,2,0,38,0,19
0,0,2941,0,15,8,7,2,27,0
0,16,0,2897,4,7,0,1,11,64
0,1,12,2,122,11,6,0,1,2
1,0,2,2,2,7482,2,1,0,8
0,0,1,2,11,1,2940,33,2,10
0,0,0,0,0,0,0,2941,0,59
0,0,9,4,5,0,4,1,2977,0
0,10,2,29,0,1,0,220,0,2738
