feature,split_importance,gain_importance
src_ip_bytes,10052,2133004.3425943945
conn_state,5011,815292.4727416964
src_bytes,4946,708917.4508713589
dst_ip_bytes,6117,557673.1781667593
duration,12716,511306.7348684863
src_pkts,4505,440391.01185560203
proto,1268,387312.51834012865
dst_bytes,5062,355487.2678613793
dst_pkts,3428,289276.99246955034
dns_query,4155,94202.95573821696
service,1540,68157.04817897348
dns_rejected,245,24932.302720358148
dns_rcode,370,14883.695003347279
dns_RA,316,14157.784049506121
dns_AA,370,13310.549628284993
dns_qclass,64,6103.143574344227
dns_RD,271,4710.264107420126
dns_qtype,456,4112.389916145519
