class_id,samples,total_inference_time_sec,avg_inference_time_ms
0,3000,0.08409515954554081,0.028031719848513603
1,3000,0.11047021113336086,0.03682340371112029
2,3000,0.0896258931607008,0.0298752977202336
3,3000,0.11286539025604725,0.03762179675201575
4,157,0.0075094327330589294,0.047830781739228855
5,7500,0.22884853556752205,0.030513138075669605
6,3000,0.10901608131825924,0.036338693772753075
7,3000,0.08968044072389603,0.029893480241298676
8,3000,0.09313816204667091,0.03104605401555697
9,3000,0.10088025964796543,0.03362675321598847
