0,1,2,3,4,5,6,7,8,9
5998,0,0,0,2,0,0,0,0,0
0,5853,2,22,5,5,0,68,0,45
0,2,5894,1,52,9,5,2,35,0
0,43,6,5774,20,6,0,5,18,128
0,2,10,2,279,13,2,1,3,1
1,4,5,5,23,14937,3,16,0,6
0,1,4,0,52,0,5861,60,3,19
0,0,0,0,0,0,0,5885,0,115
0,0,27,3,18,0,7,2,5943,0
0,23,2,67,1,0,0,417,0,5490
