feature,split_importance,gain_importance
src_ip_bytes,23363,1940798.625273838
conn_state,9687,1117327.2974330005
src_bytes,11984,724243.5415562929
duration,37362,655660.8605472841
dst_ip_bytes,14882,639960.5322205736
src_pkts,8687,574744.3280253801
dst_bytes,12436,333440.69978517835
dst_pkts,7179,291185.1047228587
proto,2373,189986.6646057085
dns_query,10509,155445.20348487116
dns_AA,627,102405.89951072464
service,2459,65867.52007596052
dns_RD,655,61405.66606003666
dns_rcode,1058,27113.264724192995
