class_id,samples,total_inference_time_sec,avg_inference_time_ms
0,6000,0.16676335781812668,0.02779389296968778
1,6000,0.14500940404832363,0.02416823400805394
2,6000,0.1322700586169958,0.022045009769499302
3,6000,0.14197159931063652,0.023661933218439422
4,313,0.01519027166068554,0.048531219363212585
5,15000,0.33078386448323727,0.022052257632215817
6,6000,0.15005562640726566,0.02500927106787761
7,6000,0.14439081028103828,0.024065135046839714
8,6000,0.14081291668117046,0.023468819446861744
9,6000,0.16553248278796673,0.027588747131327786
