feature,sage_importance,rank_sage,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,macro_sage_importance,macro_sage_rank,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
proto,0.174944189609205,7,0.002977515936023,11,0.0001855526071595,5,0.2771608622480656,7,0,backdoor,True,True,True,0.000280930736839446,0.00029157991877330286,0.0002862553278063744
service,0.1642923452522054,8,1.2939424610462973,4,0.003686923708444,3,0.1310206629448287,11,0,backdoor,True,True,True,0.12208438739545827,0.005793682621270709,0.06393903500836448
duration,0.554160238429122,3,0.6658369622347303,5,4.296023648977521e-05,8,0.6875069339477711,3,0,backdoor,True,True,True,0.06282218884288661,6.750830644703882e-05,0.031444848574666825
src_bytes,0.1565641617158649,9,0.0703765341950686,8,0.0033992450983569,4,0.4689862841891042,4,0,backdoor,True,True,True,0.00664007583248561,0.005341620496970244,0.005990848164727927
dst_bytes,0.0824825251604365,10,0.023151554058449,9,1.4376047694097948e-05,9,0.2343875721162333,10,0,backdoor,True,True,True,0.0021843655182264333,2.259071905857398e-05,0.0011034781186425036
conn_state,0.909113488919255,2,3.9630477530587314,2,0.0697236034042344,2,1.1047178569124187,2,0,backdoor,True,True,True,0.3739163615976362,0.10956462928981156,0.2417404954437239
missed_bytes,8.581841607706643e-05,20,0.0017655621768199,13,0.0,13,0.0022496148259679,19,0,backdoor,False,False,False,0.00016658204151624712,0.0,8.329102075812356e-05
src_pkts,0.310426750841805,6,0.2873567874108396,7,9.281760806190142e-05,6,0.4007247475115519,6,0,backdoor,True,True,True,0.02711231635957888,0.0001458548658179598,0.01362908561269842
src_ip_bytes,4.971126880432937,1,10.59875458812708,1,0.636369637319788,1,1.87138261709072,1,0,backdoor,True,True,True,1.0,1.0,1.0
dst_pkts,0.3904875495756698,4,1.6962396360092633,3,0.0,14,0.2742834155914886,8,0,backdoor,True,False,False,0.1600414107058788,0.0,0.0800207053529394
dst_ip_bytes,0.3139256992654995,5,0.6174401843509666,6,1.4362775096299353e-05,10,0.4424931479868219,5,0,backdoor,True,True,True,0.05825591858147507,2.2569862315856816e-05,0.029139244221895465
dns_query,0.0553158423736435,11,0.0001452890837569,14,-6.121720175222833e-09,21,0.2473524176676328,9,0,backdoor,False,False,False,1.3708127926620313e-05,0.0,6.854063963310156e-06
dns_qclass,0.0080909726264796,16,0.0027077116713297,12,0.0,15,0.0085662604048337,18,0,backdoor,True,False,False,0.00025547451342659903,0.0,0.00012773725671329952
dns_qtype,0.0029302830414938,17,0.0001359130605428,15,-1.4282142729626911e-05,22,0.0102943386127025,17,0,backdoor,False,False,False,1.2823493497533409e-05,0.0,6.411746748766704e-06
dns_rcode,0.0132335950520472,14,0.0,16,7.14515314321762e-06,12,0.0281569947043466,14,0,backdoor,False,True,False,0.0,1.1227991915690728e-05,5.613995957845364e-06
