feature,selection_sources,protected_classes,macro_sage_importance,rank_sage
src_ip_bytes,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;normal;password;ransomware;scanning;xss,1.87138261709072,1
conn_state,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;normal;password;ransomware;scanning;xss,1.1047178569124187,2
duration,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;normal;password;ransomware;scanning;xss,0.6875069339477711,3
src_bytes,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;password;ransomware;scanning;xss,0.4689862841891042,4
dst_ip_bytes,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;normal;password;ransomware;scanning;xss,0.4424931479868219,5
src_pkts,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;normal;password;ransomware;scanning;xss,0.4007247475115519,6
proto,macro_sage_core;shap_intersection_cpf,backdoor;injection;mitm;normal;ransomware;scanning;xss,0.2771608622480656,7
dst_pkts,macro_sage_core;shap_intersection_cpf,ddos;dos;injection;mitm;normal;password;ransomware;scanning;xss,0.2742834155914886,8
dns_query,macro_sage_core;shap_intersection_cpf,ddos;dos;injection;mitm;normal;password;scanning;xss,0.2473524176676328,9
dst_bytes,macro_sage_core;shap_intersection_cpf,backdoor;ddos;dos;injection;mitm;password;scanning;xss,0.2343875721162333,10
service,macro_sage_core;shap_intersection_cpf,backdoor;dos;mitm;normal;password;ransomware;xss,0.1310206629448287,11
dns_RA,macro_sage_core,,0.0579605125661709,12
dns_rejected,macro_sage_core;shap_intersection_cpf,ddos,0.047813118971222,13
dns_rcode,macro_sage_core;shap_intersection_cpf,ddos,0.0281569947043466,14
dns_AA,macro_sage_floor,,0.0203415586355777,15
dns_RD,macro_sage_floor,,0.0184378922518846,16
dns_qtype,macro_sage_floor,,0.0102943386127025,17
dns_qclass,macro_sage_floor,,0.0085662604048337,18
