feature,mean_classwise_cpf,max_classwise_cpf,positive_class_count,rank
src_ip_bytes,0.2753522236486049,0.7749755247945116,10,1
conn_state,0.15545333958611668,0.47765366862670583,10,2
duration,0.11697142349068464,0.4096371617139575,10,3
src_bytes,0.08951273007304623,0.3354491696245827,10,4
src_pkts,0.06713179435658781,0.2597559827332083,10,5
dns_query,0.05113551445750898,0.4044159888187794,10,6
dst_ip_bytes,0.045258223814632355,0.24080890095882768,10,7
proto,0.027591105625353933,0.10047309472392352,10,8
dst_bytes,0.01509640642906539,0.0876475607430596,10,9
service,0.014633637698992221,0.13468274169703626,10,10
dst_pkts,0.011440911401413153,0.06027610454571699,10,11
dns_RA,0.0028314894149452916,0.024988674354477224,8,12
dns_rejected,0.0023628432585401883,0.01832465430563137,9,13
dns_AA,0.0015965432613611274,0.009580190872761185,9,14
dns_RD,0.0009314404729330806,0.005068567276323255,10,15
dns_rcode,0.0003701183888824766,0.0016443688026694491,8,16
