feature,macro_sage_importance,sage_repeat_std,rank_sage
src_ip_bytes,1.812806548608051,0.0,1
conn_state,1.0900311730303538,0.0,2
duration,0.7092974365200779,0.0,3
src_bytes,0.4663687244498583,0.0,4
dst_ip_bytes,0.4552784102295947,0.0,5
src_pkts,0.3886835723653342,0.0,6
proto,0.2718347934777879,0.0,7
dns_query,0.26016532392230507,0.0,8
dst_pkts,0.2577907885820921,0.0,9
dst_bytes,0.244881689590231,0.0,10
service,0.12204444784556175,0.0,11
dns_RA,0.0609398614004971,0.0,12
dns_rejected,0.02822758309364843,0.0,13
dns_AA,0.023705779943006763,0.0,14
dns_RD,0.022632887278012097,0.0,15
dns_rcode,0.020818236173057815,0.0,16
