0,1,2,3,4,5,6,7,8,9
3000,0,0,0,0,0,0,0,0,0
0,2928,1,10,2,2,0,38,0,19
0,0,2945,0,12,7,6,2,28,0
0,17,0,2897,7,4,0,1,11,63
0,1,11,2,123,14,4,0,1,1
1,0,2,2,3,7481,2,1,0,8
0,0,2,2,12,0,2938,33,3,10
0,0,0,0,0,0,0,2941,0,59
0,0,9,4,5,0,4,1,2977,0
0,11,2,28,0,2,0,220,0,2737
