class_id,class_name,feature,metric,baseline_score,permuted_score_mean,cpf_importance_mean,cpf_importance_std,conditioning_features,repeats,rank_cpf
0,backdoor,src_ip_bytes,f1,0.9997142857142857,0.36334464839449765,0.636369637319788,0.00263335499634664,src_pkts;src_bytes,5,1
0,backdoor,conn_state,f1,0.9997142857142857,0.9299906823100512,0.06972360340423442,0.00223635239951191,dst_bytes;service,5,2
0,backdoor,service,f1,0.9997142857142857,0.9960273620058416,0.0036869237084440343,5.7494693870253764e-05,src_bytes;proto,5,3
0,backdoor,src_bytes,f1,0.9997142857142857,0.9963150406159287,0.00339924509835694,4.195653953957668e-05,dst_bytes;service,5,4
0,backdoor,proto,f1,0.9997142857142857,0.9995287331071261,0.0001855526071595559,4.1633217542247846e-05,dns_AA;dns_RA,5,5
0,backdoor,src_pkts,f1,0.9997142857142857,0.9996214681062237,9.281760806190142e-05,6.620465475504988e-05,src_ip_bytes;duration,5,6
0,backdoor,dns_AA,f1,0.9997142857142857,0.9996500318845939,6.425382969164062e-05,3.4994272810233e-05,dns_RA;dns_rejected,5,7
0,backdoor,duration,f1,0.9997142857142857,0.9996713254777958,4.296023648977521e-05,1.4285202458985679e-05,src_pkts;dst_pkts,5,8
0,backdoor,dst_bytes,f1,0.9997142857142857,0.9996999096665917,1.4376047694097948e-05,1.750698293745202e-05,dst_ip_bytes;src_bytes,5,9
0,backdoor,dst_ip_bytes,f1,0.9997142857142857,0.9996999229391893,1.4362775096299351e-05,4.8456726926400115e-05,dst_pkts;dst_bytes,5,10
0,backdoor,dns_rejected,f1,0.9997142857142857,0.9996999954079993,1.4290306286435239e-05,1.7501979334926543e-05,dns_AA;dns_RD,5,11
0,backdoor,dns_rcode,f1,0.9997142857142857,0.9997071405611424,7.1451531432176195e-06,1.4290306286435239e-05,dns_RA;dns_AA,5,12
0,backdoor,missed_bytes,f1,0.9997142857142857,0.9997142857142857,0.0,0.0,dst_bytes;duration,5,13
0,backdoor,dst_pkts,f1,0.9997142857142857,0.9997142857142857,0.0,0.0,dst_ip_bytes;dst_bytes,5,14
0,backdoor,dns_qclass,f1,0.9997142857142857,0.9997142857142857,0.0,0.0,dns_qtype;dns_AA,5,15
0,backdoor,dns_RD,f1,0.9997142857142857,0.9997142857142857,0.0,0.0,dns_RA;dns_rejected,5,16
0,backdoor,dns_RA,f1,0.9997142857142857,0.9997142857142857,0.0,0.0,dns_AA;dns_RD,5,17
0,backdoor,http_request_body_len,f1,0.9997142857142857,0.9997142857142857,0.0,0.0,http_status_code;http_response_body_len,5,18
0,backdoor,http_response_body_len,f1,0.9997142857142857,0.9997142857142857,0.0,0.0,http_status_code;missed_bytes,5,19
0,backdoor,http_status_code,f1,0.9997142857142857,0.9997142857142857,0.0,0.0,http_response_body_len;http_request_body_len,5,20
0,backdoor,dns_query,f1,0.9997142857142857,0.9997142918360058,-6.121720175222833e-09,5.049572247424339e-05,dns_RA;dns_rejected,5,21
0,backdoor,dns_qtype,f1,0.9997142857142857,0.9997285678570152,-1.4282142729626911e-05,1.7491981060593233e-05,dns_qclass;dns_rejected,5,22
1,ddos,conn_state,f1,0.9868907804475092,0.8385327891609519,0.1483579912865573,0.0003468377318616712,dst_bytes;service,5,1
1,ddos,duration,f1,0.9868907804475092,0.9139379460161916,0.07295283443131757,0.0015309499256139958,src_pkts;dst_pkts,5,2
1,ddos,dns_query,f1,0.9868907804475092,0.9498706148717645,0.037020165575744765,0.0005599009427610632,dns_RA;dns_rejected,5,3
1,ddos,dst_ip_bytes,f1,0.9868907804475092,0.9582822428790007,0.028608537568508518,0.0005564178035857595,dst_pkts;dst_bytes,5,4
1,ddos,src_bytes,f1,0.9868907804475092,0.9622958790824759,0.024594901365033263,0.0005536404351263694,dst_bytes;service,5,5
1,ddos,dst_bytes,f1,0.9868907804475092,0.9716279940943965,0.015262786353112711,0.0006335154376960476,dst_ip_bytes;src_bytes,5,6
1,ddos,src_ip_bytes,f1,0.9868907804475092,0.9747789998419473,0.012111780605561973,0.0003646115192339409,src_pkts;src_bytes,5,7
1,ddos,src_pkts,f1,0.9868907804475092,0.9805064597055754,0.006384320741933824,0.0003467133343672986,src_ip_bytes;duration,5,8
1,ddos,dns_rcode,f1,0.9868907804475092,0.9850022752825185,0.0018885051649909057,0.00023692632793734084,dns_RA;dns_AA,5,9
1,ddos,proto,f1,0.9868907804475092,0.9853007541385278,0.0015900263089813516,0.00014341856812123512,dns_AA;dns_RA,5,10
1,ddos,dst_pkts,f1,0.9868907804475092,0.9854598832710426,0.00143089717646665,0.0001352805500054019,dst_ip_bytes;dst_bytes,5,11
