feature,sage_importance,rank_sage,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,macro_sage_importance,macro_sage_rank,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
proto,0.1785681071675677,7,0.0042926212944825225,11,0.0001855526071595559,6,0.2718347934777879,7,0,backdoor,False,True,False,0.00039658163217047863,0.0002925969573012379,0.0003445892947358583
service,0.1430043447216552,9,1.2812870157044882,4,0.0038309305706283325,3,0.12204444784556175,11,0,backdoor,True,True,True,0.11837403327893231,0.006040974825184062,0.06220750405205819
duration,0.5140074343932904,3,0.5417458249659937,6,4.296023648977521e-05,8,0.7092974365200779,3,0,backdoor,True,True,True,0.05005017418208005,6.77437772191523e-05,0.0250589589796496
src_bytes,0.14755524316738425,8,0.06895162766859539,8,0.003586364761794569,4,0.4663687244498583,4,0,backdoor,True,True,True,0.006370221635151055,0.0056553202519602965,0.006012770943555675
dst_bytes,0.08310612122693575,10,0.02206039931941897,10,1.4376047694097948e-05,11,0.244881689590231,10,0,backdoor,False,False,False,0.00203809014777819,2.2669516088736395e-05,0.0010303798319334632
conn_state,0.902203101767234,2,3.5407317317377465,2,0.07157331065731118,2,1.0900311730303538,2,0,backdoor,True,True,True,0.3271169462480236,0.11286358754473043,0.21999026689637702
src_pkts,0.2695478632700862,6,0.24242956623325196,7,0.0006779175355497991,5,0.3886835723653342,6,0,backdoor,True,True,True,0.022397296772193903,0.0010690046948920473,0.011733150733542976
src_ip_bytes,4.931945207578072,1,10.824054737455043,1,0.634157678435882,1,1.812806548608051,1,0,backdoor,True,True,True,1.0,1.0,1.0
dst_pkts,0.3764104505560208,4,1.585453819983728,3,0.00010003928999677836,7,0.2577907885820921,9,0,backdoor,True,True,True,0.14647503716860366,0.00015775144478817987,0.07331639430669593
dst_ip_bytes,0.2772097499627878,5,0.5595322595792559,5,2.1500782374639372e-05,9,0.4552784102295947,5,0,backdoor,True,False,False,0.05169340632056092,3.3904473770103944e-05,0.02586365539716551
dns_query,0.07095340675341869,11,0.00025939678354647565,12,2.1426785778033696e-05,10,0.26016532392230507,8,0,backdoor,False,False,False,2.396484402918542e-05,3.3787788915340085e-05,2.8876316472262753e-05
dns_rcode,0.01240061279747054,15,6.0061228051404366e-09,15,-7.136989586409293e-06,16,0.020818236173057815,16,0,backdoor,False,False,False,5.548865883278597e-10,0.0,2.7744329416392985e-10
