feature,macro_sage_importance,sage_repeat_std,rank_sage
src_ip_bytes,1.7985686875346651,0.0,1
conn_state,1.001224450605037,0.0,2
duration,0.6406316954085823,0.0,3
dst_ip_bytes,0.47135441250270754,0.0,4
src_bytes,0.45461939666942736,0.0,5
src_pkts,0.34503084440975285,0.0,6
dst_pkts,0.3083056293037751,0.0,7
proto,0.271515496702724,0.0,8
dns_query,0.23708077438241887,0.0,9
dst_bytes,0.21373238035545533,0.0,10
service,0.1254928627291434,0.0,11
dns_RA,0.0505208623989879,0.0,12
dns_rejected,0.04021014055472282,0.0,13
dns_AA,0.0235338103312088,0.0,14
dns_rcode,0.023254389568787247,0.0,15
dns_RD,0.018697463973080343,0.0,16
dns_qtype,0.01211968321655753,0.0,17
dns_qclass,0.006615281678890859,0.0,18
