class_id,class_name,feature,sage_importance,sage_repeat_std,rank_sage,positive_samples,negative_samples,repeats
4,mitm,dst_pkts,0.4075510097391405,0.0,8,729,147000,1
4,mitm,dst_bytes,0.269259670965515,0.0,9,729,147000,1
4,mitm,service,0.26449708319922544,0.0,10,729,147000,1
4,mitm,proto,0.24675466751877828,0.0,11,729,147000,1
4,mitm,dns_RA,0.08449475607346692,0.0,12,729,147000,1
4,mitm,dns_rejected,0.08068333085425504,0.0,13,729,147000,1
4,mitm,dns_rcode,0.03431013119643447,0.0,14,729,147000,1
4,mitm,dns_AA,0.03420444469242575,0.0,15,729,147000,1
4,mitm,dns_qtype,0.0203197040530755,0.0,16,729,147000,1
4,mitm,dns_RD,0.012571830583602117,0.0,17,729,147000,1
4,mitm,dns_qclass,0.0021761500918961504,0.0,18,729,147000,1
5,normal,src_ip_bytes,0.9157765357859724,0.0,1,35000,112729,1
5,normal,proto,0.735679378242477,0.0,2,35000,112729,1
5,normal,src_pkts,0.6675654625975149,0.0,3,35000,112729,1
5,normal,conn_state,0.6139696421892042,0.0,4,35000,112729,1
5,normal,dst_pkts,0.43472671594848056,0.0,5,35000,112729,1
5,normal,duration,0.35116544010753825,0.0,6,35000,112729,1
5,normal,dst_ip_bytes,0.34895463658999737,0.0,7,35000,112729,1
5,normal,dns_query,0.33393850277104253,0.0,8,35000,112729,1
5,normal,src_bytes,0.23600235270681374,0.0,9,35000,112729,1
5,normal,dst_bytes,0.13955031311331154,0.0,10,35000,112729,1
5,normal,service,0.13077863841570944,0.0,11,35000,112729,1
5,normal,dns_rejected,0.0825936102506502,0.0,12,35000,112729,1
5,normal,dns_RA,0.08207394306075351,0.0,13,35000,112729,1
5,normal,dns_AA,0.045842803739325706,0.0,14,35000,112729,1
5,normal,dns_RD,0.0359023512844146,0.0,15,35000,112729,1
5,normal,dns_qtype,0.02666413550529978,0.0,16,35000,112729,1
5,normal,dns_rcode,0.01649697786060328,0.0,17,35000,112729,1
5,normal,dns_qclass,0.011993156832739497,0.0,18,35000,112729,1
6,password,src_ip_bytes,2.037747582206784,0.0,1,14000,133729,1
6,password,conn_state,0.8558414293901928,0.0,2,14000,133729,1
6,password,src_bytes,0.837602029213879,0.0,3,14000,133729,1
6,password,dst_ip_bytes,0.5274091352069448,0.0,4,14000,133729,1
6,password,dst_pkts,0.35263939182942394,0.0,5,14000,133729,1
6,password,duration,0.33836818011285297,0.0,6,14000,133729,1
6,password,src_pkts,0.3219737119570957,0.0,7,14000,133729,1
6,password,service,0.1942609814045876,0.0,8,14000,133729,1
6,password,dns_query,0.17047354290970607,0.0,9,14000,133729,1
6,password,proto,0.17026707389418783,0.0,10,14000,133729,1
6,password,dst_bytes,0.16765227626614254,0.0,11,14000,133729,1
6,password,dns_RA,0.13557152054547683,0.0,12,14000,133729,1
6,password,dns_rejected,0.026519281656750698,0.0,13,14000,133729,1
6,password,dns_RD,0.015033215764640392,0.0,14,14000,133729,1
6,password,dns_rcode,0.014455003910867067,0.0,15,14000,133729,1
6,password,dns_qtype,0.014395280988782655,0.0,16,14000,133729,1
6,password,dns_qclass,0.004360588466695757,0.0,17,14000,133729,1
6,password,dns_AA,0.0012944299359420037,0.0,18,14000,133729,1
7,ransomware,duration,2.4326833260062717,0.0,1,14000,133729,1
7,ransomware,conn_state,1.3461820639155557,0.0,2,14000,133729,1
7,ransomware,src_ip_bytes,0.939441414469164,0.0,3,14000,133729,1
7,ransomware,src_pkts,0.5625664378310609,0.0,4,14000,133729,1
7,ransomware,dst_pkts,0.4294549976105821,0.0,5,14000,133729,1
7,ransomware,dst_ip_bytes,0.3110598862161595,0.0,6,14000,133729,1
7,ransomware,proto,0.26529718654163426,0.0,7,14000,133729,1
7,ransomware,src_bytes,0.20414584385325932,0.0,8,14000,133729,1
7,ransomware,dns_AA,0.1034893079483664,0.0,9,14000,133729,1
7,ransomware,dst_bytes,0.09903495202778091,0.0,10,14000,133729,1
7,ransomware,dns_query,0.05270618354881865,0.0,11,14000,133729,1
7,ransomware,dns_RD,0.03248400798056783,0.0,12,14000,133729,1
7,ransomware,service,0.028361732013974728,0.0,13,14000,133729,1
7,ransomware,dns_rejected,0.025252945474975873,0.0,14,14000,133729,1
7,ransomware,dns_RA,0.023469329092575757,0.0,15,14000,133729,1
7,ransomware,dns_qclass,0.0102727801550861,0.0,16,14000,133729,1
7,ransomware,dns_qtype,0.009649640144666068,0.0,17,14000,133729,1
7,ransomware,dns_rcode,0.008431276347575543,0.0,18,14000,133729,1
8,scanning,src_ip_bytes,3.7946733336406226,0.0,1,14000,133729,1
8,scanning,conn_state,0.7053174648927955,0.0,2,14000,133729,1
8,scanning,proto,0.42340628558735716,0.0,3,14000,133729,1
8,scanning,duration,0.3637532647227675,0.0,4,14000,133729,1
8,scanning,dst_ip_bytes,0.2569556686087416,0.0,5,14000,133729,1
8,scanning,src_pkts,0.1982485140048996,0.0,6,14000,133729,1
8,scanning,src_bytes,0.17236690584663297,0.0,7,14000,133729,1
8,scanning,dst_pkts,0.1697544671172369,0.0,8,14000,133729,1
8,scanning,dns_query,0.12236867451565354,0.0,9,14000,133729,1
8,scanning,dst_bytes,0.09821215496392474,0.0,10,14000,133729,1
8,scanning,service,0.05370702606128365,0.0,11,14000,133729,1
8,scanning,dns_RA,0.027118252544426423,0.0,12,14000,133729,1
8,scanning,dns_rejected,0.026703976715456178,0.0,13,14000,133729,1
8,scanning,dns_rcode,0.011631673476782843,0.0,14,14000,133729,1
8,scanning,dns_RD,0.01104362607530633,0.0,15,14000,133729,1
8,scanning,dns_qclass,0.00441191101967934,0.0,16,14000,133729,1
8,scanning,dns_AA,0.003914831134191088,0.0,17,14000,133729,1
8,scanning,dns_qtype,0.000800723041364387,0.0,18,14000,133729,1
9,xss,conn_state,1.5408998142308674,0.0,1,14000,133729,1
9,xss,src_ip_bytes,1.0057809721452173,0.0,2,14000,133729,1
9,xss,src_bytes,0.5465061857590102,0.0,3,14000,133729,1
9,xss,duration,0.44633225924591147,0.0,4,14000,133729,1
9,xss,src_pkts,0.3247356534610369,0.0,5,14000,133729,1
9,xss,dst_ip_bytes,0.29617536746034673,0.0,6,14000,133729,1
9,xss,dns_query,0.29381029796130903,0.0,7,14000,133729,1
9,xss,dst_bytes,0.2610244293629928,0.0,8,14000,133729,1
9,xss,dst_pkts,0.21392890316436153,0.0,9,14000,133729,1
9,xss,proto,0.19878877515625387,0.0,10,14000,133729,1
9,xss,service,0.11307144049688037,0.0,11,14000,133729,1
9,xss,dns_rcode,0.03951214520494596,0.0,12,14000,133729,1
9,xss,dns_RA,0.027013883816201397,0.0,13,14000,133729,1
9,xss,dns_rejected,0.02396160560504997,0.0,14,14000,133729,1
9,xss,dns_qclass,0.014311191617788202,0.0,15,14000,133729,1
9,xss,dns_RD,0.006268141770850599,0.0,16,14000,133729,1
9,xss,dns_qtype,0.005041683201540058,0.0,17,14000,133729,1
9,xss,dns_AA,-0.007045511630178818,0.0,18,14000,133729,1
