feature,sage_importance,rank_sage,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,macro_sage_importance,macro_sage_rank,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
proto,0.18013429241216852,8,0.0013719061674114213,12,-1.4239277567806852e-05,18,0.271515496702724,8,0,backdoor,False,False,False,0.00014364558253320348,0.0,7.182279126660174e-05
service,0.22585761927420922,7,1.3071331467987626,4,0.0036436157688258587,3,0.1254928627291434,11,0,backdoor,True,True,True,0.13686351645655884,0.005703925476944726,0.07128372096675178
duration,0.45520618455430684,3,0.3905426617691167,5,4.296023648977521e-05,8,0.6406316954085823,3,0,backdoor,True,True,True,0.040891811325365124,6.72524225814741e-05,0.0204795318739733
src_bytes,0.12842374964297057,9,0.06938113754875104,8,0.003586364761794569,4,0.45461939666942736,5,0,backdoor,True,True,True,0.007264559455120421,0.005614301461048081,0.0064394304580842505
dst_bytes,0.08305071103096413,10,0.008383746349161912,10,0.00013589369949578155,7,0.21373238035545533,10,0,backdoor,True,True,True,0.000877821061485779,0.0002127358052795015,0.0005452784333826403
conn_state,0.82721527920552,2,4.008592101741198,2,0.00886955716077933,2,1.001224450605037,2,0,backdoor,True,True,True,0.4197200663359443,0.013884914400535048,0.21680249036823968
src_pkts,0.23361084203848387,6,0.17861721315484405,7,0.0006779175355497991,5,0.34503084440975285,6,0,backdoor,True,True,True,0.01870213447797009,0.0010612510614795533,0.009881692769724821
src_ip_bytes,4.585693918459162,1,9.550632488780552,1,0.6387909140035855,1,1.7985686875346651,1,0,backdoor,True,True,True,1.0,1.0,1.0
dst_pkts,0.43731903109738585,4,1.5737459450914735,3,0.00022153344015576337,6,0.3083056293037751,7,0,backdoor,True,True,True,0.16477923812273224,0.0003468011759392682,0.08256301964933575
dst_ip_bytes,0.2925883758637097,5,0.3544536320992196,6,2.865665601958778e-05,9,0.47135441250270754,4,0,backdoor,True,True,True,0.03711310559961428,4.486077586793436e-05,0.018578983187741108
dns_query,0.05150968641671092,11,8.762607041643542e-05,13,2.1426785778033696e-05,10,0.23708077438241887,9,0,backdoor,False,True,False,9.174897109628362e-06,3.3542721582782924e-05,2.1358809346205643e-05
dns_qclass,0.003449688271927209,18,2.0337490180955756e-06,16,0.0,14,0.006615281678890859,18,0,backdoor,False,False,False,2.1294390926304501e-07,0.0,1.0647195463152251e-07
dns_qtype,0.005009022582499693,17,2.441670427351629e-06,15,0.0,15,0.01211968321655753,17,0,backdoor,False,False,False,2.5565536420964173e-07,0.0,1.2782768210482087e-07
dns_rcode,0.01109271301897211,14,1.2293857474113828e-06,17,1.4290816690976094e-05,11,0.023254389568787247,15,0,backdoor,False,False,False,1.2872296665750497e-07,2.237166556018967e-05,1.1250194263423587e-05
dns_AA,0.009917670223171034,16,0.023045782752790525,9,0.0,16,0.0235338103312088,14,0,backdoor,True,False,False,0.002413011157100137,0.0,0.0012065055785500686
dns_RD,0.010632523419985992,15,0.0056769451811155705,11,1.224548100697831e-08,13,0.018697463973080343,16,0,backdoor,False,False,False,0.0005944051546098615,1.9169779560937178e-08,0.0002972121621947112
dns_RA,0.019020264509928025,13,8.595168989991842e-06,14,1.4290306286435239e-05,12,0.0505208623989879,12,0,backdoor,False,False,False,8.999580917901379e-07,2.2370866543594934e-05,1.1635412317692536e-05
dns_rejected,0.022058304585446904,12,0.0,18,0.0,17,0.04021014055472282,13,0,backdoor,False,False,False,0.0,0.0,0.0
proto,0.1620740892029137,10,0.03922235406417139,14,0.0018338518454042107,9,0.271515496702724,8,1,ddos,False,True,False,0.015685502117530684,0.011356114435845086,0.013520808276687885
service,0.09549945457964706,11,0.10830890092913988,10,0.0006165464450554436,13,0.1254928627291434,11,1,ddos,True,False,False,0.043314062488241295,0.0038179594510917713,0.023566010969666533
duration,0.5231197603177538,4,0.675402299617056,6,0.06333198697852789,3,0.6406316954085823,3,1,ddos,True,True,True,0.27010169209873597,0.3921828763757571,0.33114228423724656
src_bytes,0.23031788595377567,8,0.10783651256811462,11,0.021655900325805066,5,0.45461939666942736,5,1,ddos,False,True,False,0.043125148568769874,0.1341040078714161,0.08861457822009298
