class_id,samples,total_inference_time_sec,avg_inference_time_ms
0,6000,0.08208283968269825,0.013680473280449709
1,6000,0.093287393450737,0.015547898908456167
2,6000,0.07850072905421257,0.013083454842368763
3,6000,0.09685931913554668,0.01614321985592445
4,313,0.011824721470475197,0.03777866284496868
5,15000,0.19809227250516415,0.013206151500344276
6,6000,0.09034124203026295,0.015056873671710491
7,6000,0.08420616202056408,0.014034360336760681
8,6000,0.08391222357749939,0.013985370596249899
9,6000,0.08589720539748669,0.014316200899581116
