class_id,class_name,feature,metric,baseline_score,permuted_score_mean,cpf_importance_mean,cpf_importance_std,conditioning_features,repeats,rank_cpf
0,backdoor,src_ip_bytes,f1,0.9994641900339346,0.3595769538201742,0.6398872362137604,0.004444893978306441,src_pkts;src_bytes,5,1
0,backdoor,conn_state,f1,0.9994641900339346,0.9920649644318621,0.007399225602072601,0.000648370064486677,dst_bytes;service,5,2
0,backdoor,src_bytes,f1,0.9994641900339346,0.9971350808825278,0.0023291091514067385,0.00011324246475919792,dst_bytes;service,5,3
0,backdoor,service,f1,0.9994641900339346,0.9983185985398844,0.0011455914940502244,8.777934739599584e-05,src_bytes;proto,5,4
0,backdoor,dst_bytes,f1,0.9994641900339346,0.9991063449508489,0.00035784508308567275,0.0,dst_ip_bytes;src_bytes,5,5
0,backdoor,src_pkts,f1,0.9994641900339346,0.9992853697270453,0.00017882030688938234,0.00022593749415898622,src_ip_bytes;duration,5,6
0,backdoor,duration,f1,0.9994641900339346,0.9993926593647195,7.153066921496975e-05,8.752868363574343e-05,src_pkts;dst_pkts,5,7
0,backdoor,dns_query,f1,0.9994641900339346,0.9994284438456542,3.5746188280305625e-05,7.149237656061124e-05,dns_RA;dns_rejected,5,8
0,backdoor,proto,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,dns_AA;dns_RA,5,9
0,backdoor,missed_bytes,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,dst_bytes;duration,5,10
0,backdoor,dns_qclass,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,dns_qtype;dns_AA,5,11
0,backdoor,dns_qtype,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,dns_qclass;dns_rejected,5,12
0,backdoor,dns_rcode,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,dns_RA;dns_AA,5,13
0,backdoor,dns_AA,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,dns_RA;dns_rejected,5,14
0,backdoor,dns_RD,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,dns_RA;dns_rejected,5,15
0,backdoor,dns_RA,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,dns_AA;dns_RD,5,16
0,backdoor,dns_rejected,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,dns_AA;dns_RD,5,17
0,backdoor,http_request_body_len,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,http_status_code;src_bytes,5,18
0,backdoor,http_response_body_len,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,http_status_code;missed_bytes,5,19
0,backdoor,http_status_code,f1,0.9994641900339346,0.9994641900339346,0.0,0.0,http_response_body_len;http_request_body_len,5,20
