feature,mean_abs_shap,rank
src_ip_bytes,0.9644500400305623,1
conn_state,0.7544765538253522,2
duration,0.5725766424644871,3
src_pkts,0.419411454619006,4
src_bytes,0.31719553620176255,5
dst_ip_bytes,0.282288202676395,6
dns_query,0.26290445947863067,7
dst_pkts,0.2319469823437883,8
proto,0.172191998275856,9
dst_bytes,0.15613741603242223,10
service,0.10734630958593837,11
dns_RA,0.07344466183209573,12
dns_AA,0.04654286667266538,13
dns_RD,0.027457921055107127,14
dns_rejected,0.02445582014066284,15
dns_rcode,0.024266707030996773,16
