feature,mean_classwise_cpf,max_classwise_cpf,positive_class_count,rank
src_ip_bytes,0.2744844354605432,0.7857641133797277,10,1
conn_state,0.12743903283744634,0.4407092564059029,10,2
src_bytes,0.07403383788919052,0.3115830939304396,10,3
duration,0.07179876490299945,0.24228137662419416,10,4
dns_query,0.0650999557786408,0.47185112379721794,10,5
dst_ip_bytes,0.05901465001950227,0.3361925462031653,10,6
src_pkts,0.044094633778476736,0.1050438402390669,10,7
proto,0.026831445328075715,0.10033490234991375,9,8
dst_bytes,0.020126148156872185,0.14093646419186173,9,9
dst_pkts,0.01850513878225568,0.12533635540239346,10,10
service,0.011754280787484816,0.10716393564768316,10,11
dns_AA,0.005793096538156161,0.04137263022363837,9,12
dns_rcode,0.001178790402433272,0.008449216362717471,9,13
dns_qtype,0.0010694963583958582,0.008702732959087123,8,14
dns_RD,0.0007004109612478238,0.0026683677513783532,10,15
dns_RA,0.0006808083592992009,0.00520514762699893,9,16
dns_rejected,0.0005382519905005734,0.001331876730850734,8,17
dns_qclass,0.00010560078903676384,0.0007822395152546014,4,18
