class_id,class_name,feature,selection_sources,mean_abs_shap,cpf_importance_mean,consensus_score
0,backdoor,src_ip_bytes,shap_intersection_cpf,14.512637755737467,0.6398872362137604,1.0
0,backdoor,conn_state,shap_intersection_cpf,3.4660354622834957,0.007399225602072601,0.12519604998898476
0,backdoor,duration,shap_intersection_cpf,2.0987790396952337,7.153066921496975e-05,0.07236456218685572
0,backdoor,service,shap_intersection_cpf,0.9385774747741615,0.0011455914940502244,0.033231708031615514
0,backdoor,src_bytes,shap_intersection_cpf,0.240884298815841,0.0023291091514067385,0.010119059056718983
0,backdoor,src_pkts,shap_intersection_cpf,0.23241221023911326,0.00017882030688938234,0.008146963269141879
0,backdoor,dst_bytes,shap_intersection_cpf,0.14619975414162645,0.00035784508308567275,0.005316596491984049
1,ddos,conn_state,shap_intersection_cpf,1.7433161453783832,0.16941012261566937,0.8293225472293648
1,ddos,dst_ip_bytes,shap_intersection_cpf,2.6468217254559976,0.011847572235196613,0.5349671319879583
1,ddos,duration,shap_intersection_cpf,1.0133599007992917,0.08515982001610042,0.4427717549350174
1,ddos,dst_bytes,shap_intersection_cpf,1.5646211972825297,0.024342608586736314,0.36741123434695766
1,ddos,src_ip_bytes,shap_intersection_cpf,1.3283457356328325,0.021597159013453115,0.3146744591502118
1,ddos,dns_rcode,shap_intersection_cpf,1.2402494873354597,0.004563704408883607,0.24775973012472932
1,ddos,dns_query,shap_intersection_cpf,0.8511649192438546,0.017225571557829535,0.21162985116473973
1,ddos,src_bytes,shap_intersection_cpf,0.3987377473529561,0.043405071537546316,0.20343036442397566
1,ddos,src_pkts,shap_intersection_cpf,0.25558729091612087,0.004976171335959756,0.06296868317306124
2,dos,src_ip_bytes,shap_intersection_cpf,5.201698841251466,0.5203504449759283,1.0
2,dos,conn_state,shap_intersection_cpf,3.956171738171384,0.30700358184414356,0.6752738358205295
2,dos,src_pkts,shap_intersection_cpf,2.0062341075336247,0.02782975758813009,0.21958548392332017
2,dos,duration,shap_intersection_cpf,1.8339186792639068,0.012470395809320346,0.18826343325876307
2,dos,src_bytes,shap_intersection_cpf,1.2698065902491662,0.009395889135443269,0.13108533573584222
2,dos,dns_query,shap_intersection_cpf,0.2388939225289981,0.0037480744880918236,0.026564558049196562
2,dos,dst_ip_bytes,shap_intersection_cpf,0.2139453300528916,0.0019911342001889265,0.02247821048321998
2,dos,dst_pkts,shap_intersection_cpf,0.1178580179480873,0.002544352459120547,0.013773645692128828
2,dos,dst_bytes,shap_intersection_cpf,0.12716165481346256,0.0013903383200501995,0.01355905232743087
3,injection,src_bytes,shap_intersection_cpf,4.195811008753077,0.24394461467077527,1.0
3,injection,conn_state,shap_intersection_cpf,1.364373386825667,0.09261018363398547,0.3524056176781337
3,injection,dst_bytes,shap_intersection_cpf,2.5178691466024152,0.01943392384889726,0.33987824212496703
3,injection,duration,shap_intersection_cpf,1.4552116011517262,0.05316096132053727,0.2823735633572737
3,injection,dst_ip_bytes,shap_intersection_cpf,1.4176326052841355,0.018238312587425854,0.20631635451209113
3,injection,src_pkts,shap_intersection_cpf,0.30701896962416036,0.06897277957063838,0.1779561202473139
3,injection,src_ip_bytes,shap_intersection_cpf,0.8509850269329426,0.008617795236817449,0.11907231025310178
3,injection,dns_query,shap_intersection_cpf,0.33283404489800517,0.015205524480433686,0.07082859524788548
3,injection,dst_pkts,shap_intersection_cpf,0.38623403769171577,0.004954440395555082,0.05618099492309033
