feature,mean_abs_shap,rank_shap,cpf_importance_mean,rank_cpf,class_id,class_name,shap_top_k,cpf_top_k,strict_intersection,shap_normalized,cpf_normalized,consensus_score
proto,0.00813382048182683,13,0.0,9,0,backdoor,False,False,False,0.0005604646528582429,0.0,0.00028023232642912147
service,0.9385774747741615,6,0.0011455914940502244,4,0,backdoor,True,True,True,0.06467311391432627,0.0017903021489047621,0.033231708031615514
duration,2.0987790396952337,3,7.153066921496975e-05,7,0,backdoor,True,True,True,0.14461733800704124,0.00011178636667019601,0.07236456218685572
src_bytes,0.240884298815841,7,0.0023291091514067385,3,0,backdoor,True,True,True,0.01659824374246571,0.003639874370972259,0.010119059056718983
dst_bytes,0.14619975414162645,10,0.00035784508308567275,5,0,backdoor,True,True,True,0.01007396150874278,0.000559231475225318,0.005316596491984049
conn_state,3.4660354622834957,2,0.007399225602072601,2,0,backdoor,True,True,True,0.23882877259257873,0.011563327385390789,0.12519604998898476
missed_bytes,0.0021567152302290355,14,0.0,10,0,backdoor,False,False,False,0.000148609457944776,0.0,7.4304728972388e-05
src_pkts,0.23241221023911326,8,0.00017882030688938234,6,0,backdoor,True,True,True,0.016014470570467506,0.0002794559678162509,0.008146963269141879
src_ip_bytes,14.512637755737467,1,0.6398872362137604,1,0,backdoor,True,True,True,1.0,1.0,1.0
dst_pkts,1.9126518662153318,4,-0.00017853951233193222,21,0,backdoor,True,False,False,0.13179215924818205,0.0,0.06589607962409103
dst_ip_bytes,1.0807582621471066,5,-0.00017853951233193222,22,0,backdoor,True,False,False,0.0744701466637129,0.0,0.03723507333185645
dns_query,7.050313430679629e-05,17,3.5746188280305625e-05,8,0,backdoor,False,True,False,4.85805099620318e-06,5.586326192692531e-05,3.0360656461564243e-05
dns_qclass,0.0012752437866483416,15,0.0,11,0,backdoor,False,False,False,8.787126145584273e-05,0.0,4.393563072792137e-05
dns_qtype,9.810849349736541e-05,16,0.0,12,0,backdoor,False,False,False,6.7602110070293e-06,0.0,3.38010550351465e-06
dns_rcode,0.0,19,0.0,13,0,backdoor,False,False,False,0.0,0.0,0.0
dns_AA,0.18948157852466524,9,0.0,14,0,backdoor,True,False,False,0.013056315586031564,0.0,0.006528157793015782
